q_err_KP,qdot_err_KP,Tor_HR,Tor_HP,Tor_KP,z_error,Fx_foot,Fy_foot,Fz_foot,IMU_Roll,IMU_Pitch,IMU_Yaw
-0.03681,-0.4064,2.98333,2.76811,-4.8215,0.003067,0,0,0,0.00835819,0.0330258,-0.887979
-0.03715,-0.396661,2.99119,2.82286,-4.7951,0.003098,0,0,0,0.00835819,0.0330258,-0.887979
-0.03744,-0.404936,2.98812,2.79004,-4.8193,0.003137,0,0,0,0.00835819,0.0330258,-0.887979
-0.03798,-0.407179,2.98883,2.78492,-4.83014,0.003141,0,0,0,0.00835819,0.0330258,-0.887979
-0.03834,-0.423832,2.97987,2.70719,-4.8796,0.003172,0,0,0,0.00835819,0.0330258,-0.887979
-0.03876,-0.417706,2.9857,2.74426,-4.86463,0.003193,0,0,0,0.00835819,0.0330258,-0.887979
-0.03918,-0.427336,2.98165,2.70308,-4.89444,0.003215,0,0,0,0.00835819,0.0330258,-0.887979
-0.0396,-0.425169,2.98468,2.71905,-4.89114,0.003236,0,0,0,0.00835819,0.0330258,-0.887979
-0.04003,-0.436712,2.97948,2.66853,-4.92649,0.003259,0,0,0,0.00835819,0.0330258,-0.887979
-0.04046,-0.43357,2.98322,2.68979,-4.92016,0.00328,0,0,0,0.00835819,0.0330258,-0.887979
-0.04089,-0.432589,2.98551,2.69979,-4.92034,0.003302,0,0,0,0.00835819,0.0330258,-0.887979
-0.04132,-0.436534,2.98499,2.68662,-4.93404,0.003324,0,0,0,0.00835819,0.0330258,-0.887979
-0.04169,-0.439241,2.98502,2.67902,-4.94387,0.003354,0,0,0,0.00835819,0.0330258,-0.887979
-0.04213,-0.444618,2.98366,2.65876,-4.96203,0.003376,0,0,0,0.00835819,0.0330258,-0.887979
-0.04256,-0.430739,2.99405,2.73316,-4.92483,0.003398,0,0,0,0.00835819,0.0330258,-0.887979
-0.043,-0.453429,2.98176,2.62632,-4.99287,0.00342,0,0,0,0.00835819,0.0330258,-0.887979
-0.04344,-0.45235,2.98431,2.63771,-4.99235,0.003441,0,0,0,0.00835819,0.0330258,-0.887979
-0.04389,-0.450424,2.98726,2.65266,-4.98973,0.003464,0,0,0,0.00835819,0.0330258,-0.887979
-0.04433,-0.453543,2.987,2.64213,-5.00187,0.003485,0,0,0,0.00835819,0.0330258,-0.887979
-0.04478,-0.454974,2.98799,2.64105,-5.00861,0.003507,0,0,0,0.00835819,0.0330258,-0.887979
-0.04523,-0.450442,2.99242,2.66813,-4.99892,0.003529,0,0,0,0.00835819,0.0330258,-0.887979
-0.04568,-0.465997,2.98462,2.59683,-5.04642,0.003551,0,0,0,0.00835819,0.0330258,-0.887979
-0.04613,-0.457903,2.99145,2.64252,-5.026,0.003573,0,0,0,0.00835819,0.0330258,-0.887979
-0.04658,-0.478497,2.98044,2.54577,-5.08828,0.003595,0,0,0,0.00835819,0.0330258,-0.887979
-0.04704,-0.478573,2.98225,2.55116,-5.09128,0.003617,0,0,0,0.00835819,0.0330258,-0.887979
-0.0475,-0.485079,2.97999,2.52428,-5.11301,0.003639,0,0,0,0.00835819,0.0330258,-0.887979
-0.04796,-0.467696,2.99228,2.61437,-5.06673,0.00366,0,0,0,0.00835819,0.0330258,-0.887979
-0.04842,-0.483032,2.98471,2.54453,-5.11348,0.003683,0,0,0,0.00835819,0.0330258,-0.887979
-0.04888,-0.481458,2.98741,2.55731,-5.11218,0.003705,0,0,0,0.00835819,0.0330258,-0.887979
