q_err_KP,qdot_err_KP,z_error,Tor_HR,Tor_HP,Tor_KP,Fx_foot,Fy_foot,Fz_foot,HR_q,HP_q,KP_q,HR_qdot,HP_qdot,KP_qdot,HR_q_d,HP_q_d,KP_q_d,HR_qdot_d,HP_qdot_d,KP_qdot_d,x,y,z,x_d,y_d,z_d
-0.00329,-0.1459052,-5E-05,2.81324,2.6164,-4.13088,0,0,0,0.000180468,1.82899,-1.40031,0.00132343,0.00565467,-0.0184078,0,1.83004,-1.4036,-6.98E-07,0.0548874,-0.164313,-0.449287,0.100033,-0.18339,-0.448621,0.1,-0.18344
-0.00346,-0.1486879,-5.1E-05,2.81417,2.61561,-4.13647,0,0,0,0.000180468,1.82899,-1.40031,0.00132343,0.00517343,-0.0185281,0,1.8301,-1.40377,-7.1E-07,0.0558572,-0.167216,-0.449287,0.100033,-0.18339,-0.448588,0.1,-0.183441
-0.00362,-0.1517704,-5.2E-05,2.81489,2.61282,-4.1432,0,0,0,0.000180468,1.82899,-1.40031,0.00126328,0.00475233,-0.0183476,0,1.83015,-1.40393,-7.23E-07,0.0568263,-0.170118,-0.449287,0.100033,-0.18339,-0.448555,0.1,-0.183442
-0.00373,-0.1574276,-4.2E-05,2.81384,2.5976,-4.15662,0,0,0,0.000180468,1.82899,-1.40037,0.00126328,0.0043914,-0.0155804,0,1.83021,-1.4041,-7.35E-07,0.0577878,-0.173008,-0.449271,0.100033,-0.1834,-0.44852,0.1,-0.183442
-0.00391,-0.1605662,-4.3E-05,2.8143,2.59333,-4.16419,0,0,0,0.000180468,1.82899,-1.40037,0.00120312,0.00409062,-0.0153398,0,1.83027,-1.40428,-7.47E-07,0.0587557,-0.175906,-0.449271,0.100033,-0.1834,-0.448485,0.1,-0.183443
-0.00409,-0.163402,-4.4E-05,2.81473,2.58979,-4.17127,0,0,0,0.000180468,1.82899,-1.40037,0.00120312,0.00384999,-0.0154,0,1.83033,-1.40446,-7.59E-07,0.0597231,-0.178802,-0.449271,0.100033,-0.1834,-0.44845,0.1,-0.183444
-0.00426,-0.166297,-4.5E-05,2.81512,2.58594,-4.17855,0,0,0,0.000180468,1.82899,-1.40037,0.00120312,0.00360937,-0.0154,0,1.83039,-1.40463,-7.72E-07,0.0606898,-0.181697,-0.449271,0.100033,-0.1834,-0.448414,0.1,-0.183445
-0.00445,-0.1701515,-4.5E-05,2.81485,2.57674,-4.18887,0,0,0,0.000180468,1.82899,-1.40037,0.00114297,0.0034289,-0.0144375,0,1.83045,-1.40482,-7.84E-07,0.061656,-0.184589,-0.449271,0.100033,-0.1834,-0.448377,0.1,-0.183445
-0.00457,-0.1746567,-3.7E-05,2.81433,2.56601,-4.19976,0,0,0,0.000180468,1.82899,-1.40043,0.00114297,0.00318827,-0.0128133,0,1.83051,-1.405,-7.96E-07,0.0626138,-0.18747,-0.449255,0.100033,-0.183409,-0.44834,0.1,-0.183446
-0.00476,-0.1774856,-3.8E-05,2.81464,2.56138,-4.20751,0,0,0,0.000180468,1.82899,-1.40043,0.00108281,0.00306796,-0.0128734,0,1.83057,-1.40519,-8.09E-07,0.0635786,-0.190359,-0.449255,0.100033,-0.183409,-0.448302,0.1,-0.183447
-0.00489,-0.1801811,-3E-05,2.8152,2.5591,-4.2136,0,0,0,0.000180468,1.82899,-1.40049,0.00108281,0.00288749,-0.0130539,0,1.83064,-1.40538,-8.21E-07,0.0645347,-0.193235,-0.449239,0.100033,-0.183418,-0.448264,0.1,-0.183448
-0.00509,-0.175306,-3.1E-05,2.82052,2.59316,-4.19942,0,0,0,0.000180468,1.82899,-1.40049,0.00108281,0.00276718,-0.020814,0,1.8307,-1.40558,-8.33E-07,0.0654982,-0.19612,-0.449239,0.100033,-0.183418,-0.448225,0.1,-0.183449
-0.00528,-0.178189,-3.1E-05,2.82076,2.5881,-4.20742,0,0,0,0.000180468,1.82899,-1.40049,0.00102265,0.00264687,-0.020814,0,1.83077,-1.40577,-8.45E-07,0.0664609,-0.199003,-0.449239,0.100033,-0.183418,-0.448185,0.1,-0.183449
-0.00542,-0.177209,-2.3E-05,2.82363,2.60364,-4.20339,0,0,0,0.000180468,1.82899,-1.40055,0.00102265,0.00252656,-0.024664,0,1.83083,-1.40597,-8.57E-07,0.0674147,-0.201873,-0.449224,0.100033,-0.183427,-0.448145,0.1,-0.18345
